symbol	psymbol	NM	ENSG
ABCA9	ABCA9	NM_172386	ENSG00000154258
ABCA10	ABCA10	NM_080282	ENSG00000154263
ABCA12	ICR2B	NM_173076	ENSG00000144452
ABCA13	ABCA13	NM_152701	ENSG00000179869
ABCB1	PGY1	NM_000927	ENSG00000085563
ABCB1	MDR1	NM_000927	ENSG00000085563
ABCB1	CLCS	NM_000927	ENSG00000085563
ABCB4	PGY3	NM_000443	ENSG00000005471
ABCB4	MDR3	NM_000443	ENSG00000005471
ABCB5	ABCB5	NM_178559	ENSG00000004846
ABCB6	ABCB6	NM_005689	ENSG00000115657
ABCB7	ABC7	NM_004299	ENSG00000131269
ABCB8	ABCB8	NM_007188	ENSG00000197150
ABCB9	ABCB9	NM_019624	ENSG00000150967
ABCB10	ABCB10	NM_012089	ENSG00000135776
ABCB11	BSEP	NM_003742	ENSG00000073734
ABCB11	PFIC2	NM_003742	ENSG00000073734
ABCC1	MRP	NM_004996	ENSG00000103222
ABCC1	MRP1	NM_004996	ENSG00000103222
ABCC2	CMOAT	NM_000392	ENSG00000023839
ABCC3	ABCC3	NM_020038	ENSG00000108846
ABCC4	ABCC4	NM_005845	ENSG00000125257
ABCC5	ABCC5	NM_005688	ENSG00000114770
ABCC8	SUR	NM_000352	ENSG00000006071
ABCC8	HRINS	NM_000352	ENSG00000006071
ABCC9	ABCC9	NM_005691	ENSG00000069431
ABCC10	ABCC10	NM_033450	ENSG00000124574
ABCC11	ABCC11	NM_032583	ENSG00000121270
ABCC12	ABCC12	NM_033226	ENSG00000140798
ABCD1	ALD	NM_000033	ENSG00000101986
ABCD2	ALDL1	NM_005164	ENSG00000173208
ABCD3	PXMP1	NM_002858	ENSG00000117528
ABCD4	PXMP1L	NM_005050	ENSG00000119688
ABCE1	RNASEL1	NM_002940	ENSG00000164163
ABCE1	RNASELI	NM_002940	ENSG00000164163
ABCE1	RNS4I	NM_002940	ENSG00000164163
ABCF2	ABCF2	NM_005692	ENSG00000033050
ABCF3	ABCF3	NM_018358	ENSG00000161204
ABCG1	ABCG1	NM_207174	ENSG00000160179
ABCG2	ABCG2	NM_004827	ENSG00000118777
ABCG4	ABCG4	NM_022169	ENSG00000172350
ABCG5	ABCG5	NM_022436	ENSG00000138075
ABCG8	ABCG8	NM_022437	ENSG00000143921
ABHD1	ABHD1	NM_032604	ENSG00000143994
ABHD5	ABHD5	NM_016006	ENSG00000011198
ABHD6	ABHD6	NM_020676	ENSG00000163686
ABHD8	ABHD8	NM_024527	ENSG00000127220
ABHD10	ABHD10	NM_018394	ENSG00000144827
ABHD12	C20orf22	NM_015600	ENSG00000100997
ABHD13	C13orf6	NM_032859	ENSG00000139826
ABHD14A	ABHD14A	NM_015407	ENSG00000248487
ABHD14B	ABHD14B	NM_032750	ENSG00000114779
ABHD15	ABHD15	NM_198147	ENSG00000168792
ABHD17A	C19orf27	NM_031213	ENSG00000129968
ABHD17A	FAM108A1	NM_031213	ENSG00000129968
ABHD17B	C9orf77	NM_016014	ENSG00000107362
ABHD17B	FAM108B1	NM_016014	ENSG00000107362
ABHD17C	FAM108C1	NM_021214	ENSG00000136379
ABHD18	C4orf29	NM_001039717	ENSG00000164074
ABI1	SSH3BP1	NM_005470	ENSG00000136754
ABI2	ABI2	NM_005759	ENSG00000138443
ABI3	ABI3	NM_016428	ENSG00000108798
ABL1	ABL	NM_007313	ENSG00000097007
ABL2	ABLL	NM_005158	ENSG00000143322
ABLIM2	ABLIM2	NM_001130083	ENSG00000163995
ABLIM3	ABLIM3	NM_014945	ENSG00000173210
ABO	ABO	NM_020469	ENSG00000175164
ABRA	ABRA	NM_139166	ENSG00000174429
ABRACL	C6orf115	NM_021243	ENSG00000146386
ABRAXAS1	CCDC98	NM_139076	ENSG00000163322
ABRAXAS1	FAM175A	NM_139076	ENSG00000163322
ABRAXAS2	KIAA0157	NM_032182	ENSG00000165660
ABRAXAS2	FAM175B	NM_032182	ENSG00000165660
ABTB1	ABTB1	NM_172027	ENSG00000114626
ABTB2	ABTB2	NM_145804	ENSG00000166016
ACAA1	ACAA1	NM_001607	ENSG00000060971
ACAA2	ACAA2	NM_006111	ENSG00000167315
ACACA	ACAC	NM_198836	ENSG00000278540
ACACA	ACC	NM_198836	ENSG00000278540
ACACB	ACACB	NM_001093	ENSG00000076555
ACAD8	ACAD8	NM_014384	ENSG00000151498
ACAD9	ACAD9	NM_014049	ENSG00000177646
ACAD10	ACAD10	NM_025247	ENSG00000111271
ACAD11	ACAD11	NM_032169	ENSG00000240303
ACADL	ACADL	NM_001608	ENSG00000115361
ACADS	ACADS	NM_000017	ENSG00000122971
ACADSB	ACADSB	NM_001609	ENSG00000196177
ACADVL	ACADVL	NM_000018	ENSG00000072778
ACAN	MSK16	NM_001135	ENSG00000157766
ACAN	CSPG1	NM_001135	ENSG00000157766
ACAN	AGC1	NM_001135	ENSG00000157766
ACAP1	CENTB1	NM_014716	ENSG00000072818
ACAP2	CENTB2	NM_012287	ENSG00000114331
ACAP3	CENTB5	NM_030649	ENSG00000131584
ACAT1	ACAT	NM_000019	ENSG00000075239
ACAT2	ACAT2	NM_005891	ENSG00000120437
ACBD3	GOLPH1	NM_022735	ENSG00000182827
ACBD3	GOCAP1	NM_022735	ENSG00000182827
ACBD4	ACBD4	NM_024722	ENSG00000181513
ACBD5	ACBD5	NM_145698	ENSG00000107897
ACBD6	ACBD6	NM_032360	ENSG00000230124
ACCS	ACCS	NM_032592	ENSG00000110455
ACCSL	ACCSL	NM_001031854	ENSG00000205126
ACD	ACD	NM_022914	ENSG00000102977
ACE	DCP1	NM_000789	ENSG00000159640
ACER1	ASAH3	NM_133492	ENSG00000167769
ACER2	ASAH3L	NM_001010887	ENSG00000177076
ACER3	PHCA	NM_018367	ENSG00000078124
ACHE	YT	NM_015831	ENSG00000087085
ACIN1	ACINUS	NM_014977	ENSG00000100813
ACKR1	FY	NM_002036	ENSG00000213088
ACKR1	DARC	NM_002036	ENSG00000213088
ACKR2	CMKBR9	NM_001296	ENSG00000144648
ACKR2	CCBP2	NM_001296	ENSG00000144648
ACKR3	CMKOR1	NM_020311	ENSG00000144476
ACKR3	CXCR7	NM_020311	ENSG00000144476
ACKR4	CCRL1	NM_016557	ENSG00000129048
ACLY	ACLY	NM_001096	ENSG00000131473
ACO1	IREB1	NM_002197	ENSG00000122729
ACO2	ACO2	NM_001098	ENSG00000100412
ACOD1	IRG1	NM_001258406	ENSG00000102794
ACOT1	ACOT1	NM_001037161	ENSG00000184227
ACOT2	ACOT2	NM_006821	ENSG00000119673
ACOT4	ACOT4	NM_152331	ENSG00000177465
ACOT6	C14orf42	NM_001037162	ENSG00000205669
ACOT7	ACOT7	NM_007274	ENSG00000097021
ACOT8	PTE1	NM_183386	ENSG00000101473
ACOT9	ACOT9	NM_012332	ENSG00000123130
ACOT11	THEA	NM_015547	ENSG00000162390
ACOT12	ACOT12	NM_130767	ENSG00000172497
ACOT13	THEM2	NM_018473	ENSG00000112304
ACOX2	ACOX2	NM_003500	ENSG00000168306
ACOXL	ACOXL	NM_018308	ENSG00000153093
ACP1	ACP1	NM_004300	ENSG00000143727
ACP2	ACP2	NM_001610	ENSG00000134575
ACP4	ACPT	NM_033068	ENSG00000142513
ACP6	ACP6	NM_016361	ENSG00000162836
ACP7	ACP7	NM_001004318	ENSG00000183760
ACPP	ACPP	NM_001099	ENSG00000014257
ACR	ACR	NM_001097	ENSG00000100312
ACRBP	ACRBP	NM_032489	ENSG00000111644
ACRV1	ACRV1	NM_001612	ENSG00000134940
ACSBG1	ACSBG1	NM_015162	ENSG00000103740
ACSBG2	ACSBG2	NM_030924	ENSG00000130377
ACSF2	ACSF2	NM_025149	ENSG00000167107
ACSF3	ACSF3	NM_174917	ENSG00000176715
ACSL1	FACL2	NM_001995	ENSG00000151726
ACSL3	FACL3	NM_004457	ENSG00000123983
ACSL4	FACL4	NM_004458	ENSG00000068366
ACSL4	MRX63	NM_004458	ENSG00000068366
ACSL4	MRX68	NM_004458	ENSG00000068366
ACSL5	FACL5	NM_016234	ENSG00000197142
ACSL6	FACL6	NM_015256	ENSG00000164398
ACSM1	BUCS1	NM_052956	ENSG00000166743
ACSM2A	ACSM2	NM_001010845	ENSG00000183747
ACSM2B	ACSM2	NM_182617	ENSG00000066813
ACSM3	SAH	NM_005622	ENSG00000005187
ACSM4	ACSM4	NM_001080454	ENSG00000215009
ACSM5	ACSM5	NM_017888	ENSG00000183549
ACSM6	C10orf129	NM_207321	ENSG00000173124
ACSS1	ACAS2L	NM_032501	ENSG00000154930
ACSS2	ACAS2	NM_018677	ENSG00000131069
ACSS3	ACSS3	NM_024560	ENSG00000111058
ACTA1	ACTA	NM_001100	ENSG00000143632
ACTA2	ACTA2	NM_001613	ENSG00000107796
ACTB	ACTB	NM_001101	ENSG00000075624
ACTBL2	ACTBL2	NM_001017992	ENSG00000169067
ACTC1	ACTC	NM_005159	ENSG00000159251
ACTG1	ACTG	NM_001614	ENSG00000184009
ACTG1	DFNA20	NM_001614	ENSG00000184009
ACTG1	DFNA26	NM_001614	ENSG00000184009
ACTG2	ACTL3	NM_001615	ENSG00000163017
ACTG2	ACTA3	NM_001615	ENSG00000163017
ACTL6A	ACTL6A	NM_004301	ENSG00000136518
ACTL6B	ACTL6	NM_016188	ENSG00000077080
ACTL7A	ACTL7A	NM_006687	ENSG00000187003
ACTL7B	ACTL7B	NM_006686	ENSG00000148156
ACTL8	ACTL8	NM_030812	ENSG00000117148
ACTL9	ACTL9	NM_178525	ENSG00000181786
ACTN1	ACTN1	NM_001102	ENSG00000072110
ACTN2	ACTN2	NM_001103	ENSG00000077522
ACTN3	ACTN3	NM_001104	ENSG00000248746
ACTR1B	CTRN2	NM_005735	ENSG00000115073
ACTR2	ACTR2	NM_001005386	ENSG00000138071
ACTR3	ACTR3	NM_005721	ENSG00000115091
ACTR3B	ACTR3B	NM_020445	ENSG00000133627
ACTR5	ACTR5	NM_024855	ENSG00000101442
ACTR6	ACTR6	NM_022496	ENSG00000075089
ACTR8	ACTR8	NM_022899	ENSG00000113812
ACTRT1	ACTRT1	NM_138289	ENSG00000123165
ACTRT2	ACTRT2	NM_080431	ENSG00000169717
ACTRT3	ACTRT3	NM_032487	ENSG00000184378
ACVR1	ACVRLK2	NM_001105	ENSG00000115170
ACVR1B	ACVRLK4	NM_020328	ENSG00000135503
ACVR1C	ACVR1C	NM_145259	ENSG00000123612
ACVR2A	ACVR2	NM_001616	ENSG00000121989
ACVR2B	ACVR2B	NM_001106	ENSG00000114739
ACVRL1	ACVRLK1	NM_000020	ENSG00000139567
ACVRL1	ORW2	NM_000020	ENSG00000139567
ACY1	ACY1	NM_000666	ENSG00000243989
ACY3	ACY3	NM_080658	ENSG00000132744
ADA	ADA	NM_000022	ENSG00000196839
ADAD1	ADAD1	NM_139243	ENSG00000164113
ADAD2	ADAD2	NM_139174	ENSG00000140955
ADAL	ADAL	NM_001324366	ENSG00000168803
ADAM2	FTNB	NM_001464	ENSG00000104755
ADAM7	ADAM7	NM_003817	ENSG00000069206
ADAM8	ADAM8	NM_001109	ENSG00000151651
ADAM10	ADAM10	NM_001110	ENSG00000137845
ADAM11	MDC	NM_002390	ENSG00000073670
ADAM15	ADAM15	NM_003815	ENSG00000143537
ADAM18	ADAM18	NM_014237	ENSG00000168619
ADAM19	ADAM19	NM_033274	ENSG00000135074
ADAM22	ADAM22	NM_021723	ENSG00000008277
ADAM23	ADAM23	NM_003812	ENSG00000114948
ADAM28	ADAM28	NM_021778	ENSG00000042980
ADAM30	ADAM30	NM_021794	ENSG00000134249
ADAM32	ADAM32	NM_145004	ENSG00000197140
ADAM33	C20orf153	NM_025220	ENSG00000149451
ADAMDEC1	ADAMDEC1	NM_014479	ENSG00000134028
ADAMTS2	ADAMTS2	NM_014244	ENSG00000087116
ADAMTS4	ADAMTS4	NM_005099	ENSG00000158859
ADAMTS6	ADAMTS6	NM_197941	ENSG00000049192
ADAMTS7	ADAMTS7	NM_014272	ENSG00000136378
ADAMTS8	ADAMTS8	NM_007037	ENSG00000134917
ADAMTS10	ADAMTS10	NM_030957	ENSG00000142303
ADAMTS12	ADAMTS12	NM_030955	ENSG00000151388
ADAMTS13	C9orf8	NM_139025	ENSG00000160323
ADAMTS14	ADAMTS14	NM_080722	ENSG00000138316
ADAMTS15	ADAMTS15	NM_139055	ENSG00000166106
ADAMTS16	ADAMTS16	NM_139056	ENSG00000145536
ADAMTS17	ADAMTS17	NM_139057	ENSG00000140470
ADAMTS19	ADAMTS19	NM_133638	ENSG00000145808
ADAMTS20	ADAMTS20	NM_025003	ENSG00000173157
ADAMTSL2	ADAMTSL2	NM_014694	ENSG00000197859
ADAMTSL3	ADAMTSL3	NM_207517	ENSG00000156218
ADAMTSL4	TSRC1	NM_019032	ENSG00000143382
ADAMTSL5	THSD6	NM_213604	ENSG00000185761
ADAP1	CENTA1	NM_006869	ENSG00000105963
ADAP2	CENTA2	NM_018404	ENSG00000184060
ADAR	IFI4	NM_001111	ENSG00000160710
ADAR	G1P1	NM_001111	ENSG00000160710
ADARB1	ADARB1	NM_015833	ENSG00000197381
ADARB2	ADARB2	NM_018702	ENSG00000185736
ADAT1	ADAT1	NM_012091	ENSG00000065457
ADAT2	DEADC1	NM_001286259	ENSG00000189007
ADAT3	ADAT3	NM_138422	ENSG00000213638
ADCK1	ADCK1	NM_020421	ENSG00000063761
ADCK2	ADCK2	NM_052853	ENSG00000133597
ADCK5	ADCK5	NM_174922	ENSG00000173137
ADCY1	DFNB44	NM_021116	ENSG00000164742
ADCY2	ADCY2	NM_020546	ENSG00000078295
ADCY5	ADCY5	NM_183357	ENSG00000173175
ADCY6	ADCY6	NM_020983	ENSG00000174233
ADCY10	ADCY10	NM_018417	ENSG00000143199
ADCYAP1	ADCYAP1	NM_001117	ENSG00000141433
ADCYAP1R1	ADCYAP1R1	NM_001118	ENSG00000078549
ADD1	ADD1	NM_014189	ENSG00000087274
ADD2	ADD2	NM_001617	ENSG00000075340
ADD3	ADDL	NM_019903	ENSG00000148700
ADGB	C6orf103	NM_024694	ENSG00000118492
ADGRB1	BAI1	NM_001702	ENSG00000181790
ADGRB2	BAI2	NM_001703	ENSG00000121753
ADGRD1	GPR133	NM_198827	ENSG00000111452
ADGRD2	GPR144	NM_182611	ENSG00000180264
ADGRE3	EMR3	NM_032571	ENSG00000131355
ADGRE5	CD97	NM_078481	ENSG00000123146
ADGRF1	GPR110	NM_153840	ENSG00000153292
ADGRF2	GPR111	NM_153839	ENSG00000164393
ADGRF3	GPR113	NM_153835	ENSG00000173567
ADGRF4	GPR115	NM_153838	ENSG00000153294
ADGRF5	GPR116	NM_015234	ENSG00000069122
ADGRG3	GPR97	NM_170776	ENSG00000182885
ADGRG5	GPR114	NM_153837	ENSG00000159618
ADGRL1	LPHN1	NM_014921	ENSG00000072071
ADGRL2	LPHH1	NM_012302	ENSG00000117114
ADGRL2	LPHN2	NM_012302	ENSG00000117114
ADGRL4	ELTD1	NM_022159	ENSG00000162618
ADGRV1	USH2C	NM_032119	ENSG00000164199
ADGRV1	MASS1	NM_032119	ENSG00000164199
ADGRV1	GPR98	NM_032119	ENSG00000164199
ADH1A	ADH1	NM_000667	ENSG00000187758
ADH1B	ADH2	NM_000668	ENSG00000196616
ADH1C	ADH3	NM_000669	ENSG00000248144
ADH4	ADH4	NM_000670	ENSG00000198099
ADH5	FDH	NM_000671	ENSG00000197894
ADH6	ADH6	NM_000672	ENSG00000172955
ADH7	ADH7	NM_000673	ENSG00000196344
ADHFE1	ADHFE1	NM_144650	ENSG00000147576
ADI1	ADI1	NM_018269	ENSG00000182551
ADIG	ADIG	NM_001018082	ENSG00000182035
ADIPOQ	ACDC	NM_004797	ENSG00000181092
ADIPOR1	ADIPOR1	NM_015999	ENSG00000159346
ADIPOR2	ADIPOR2	NM_024551	ENSG00000006831
ADIRF	C10orf116	NM_006829	ENSG00000148671
ADK	ADK	NM_006721	ENSG00000156110
ADM	ADM	NM_001124	ENSG00000148926
ADM2	ADM2	NM_024866	ENSG00000128165
ADM5	C19orf76	NM_001101340	ENSG00000224420
ADNP	ADNP	NM_181442	ENSG00000101126
ADNP2	ZNF508	NM_014913	ENSG00000101544
ADO	C10orf22	NM_032804	ENSG00000181915
ADORA1	ADORA1	NM_000674	ENSG00000163485
ADORA2A	ADORA2	NM_000675	ENSG00000128271
ADORA3	ADORA3	NM_000677	ENSG00000282608
ADORA3	ADORA3	NM_020683	ENSG00000282608
ADPGK	ADPGK	NM_031284	ENSG00000159322
ADPRH	ADPRH	NM_001125	ENSG00000144843
ADPRHL1	ADPRHL1	NM_138430	ENSG00000153531
ADPRHL2	ADPRHL2	NM_017825	ENSG00000116863
ADPRM	C17orf48	NM_020233	ENSG00000170222
ADRA1A	ADRA1C	NM_033303	ENSG00000120907
ADRA1D	ADRA1D	NM_000678	ENSG00000171873
ADRA2A	ADRA2	NM_000681	ENSG00000150594
ADRA2A	ADRA2R	NM_000681	ENSG00000150594
ADRA2C	ADRA2L2	NM_000683	ENSG00000184160
ADRA2C	ADRA2RL2	NM_000683	ENSG00000184160
ADRB2	ADRB2R	NM_000024	ENSG00000169252
ADRB3	ADRB3	NM_000025	ENSG00000188778
ADSL	ADSL	NM_000026	ENSG00000239900
ADSS	ADSS	NM_001126	ENSG00000035687
ADTRP	C6orf105	NM_032744	ENSG00000111863
AEBP1	AEBP1	NM_001129	ENSG00000106624
AEBP2	AEBP2	NM_153207	ENSG00000139154
AEN	ISG20L1	NM_022767	ENSG00000181026
AES	AES	NM_198969	ENSG00000104964
AFAP1	AFAP1	NM_021638	ENSG00000196526
AFAP1L1	AFAP1L1	NM_152406	ENSG00000157510
AFAP1L2	KIAA1914	NM_032550	ENSG00000169129
AFDN	MLLT4	NM_005936	ENSG00000130396
AFF1	PBM1	NM_005935	ENSG00000172493
AFF1	MLLT2	NM_005935	ENSG00000172493
AFF2	FMR2	NM_002025	ENSG00000155966
AFF3	LAF4	NM_002285	ENSG00000144218
AFF4	AFF4	NM_014423	ENSG00000072364
AFG1L	LACE1	NM_145315	ENSG00000135537
AFG3L2	SCA28	NM_006796	ENSG00000141385
AFMID	AFMID	NM_001145526	ENSG00000183077
AFTPH	AFTPH	NM_017657	ENSG00000119844
AGA	AGA	NM_000027	ENSG00000038002
AGAP1	CENTG2	NM_014914	ENSG00000157985
AGAP2	CENTG1	NM_014770	ENSG00000135439
AGAP3	CENTG3	NM_031946	ENSG00000133612
AGAP4	CTGLF1	NM_133446	ENSG00000188234
AGAP4	AGAP8	NM_133446	ENSG00000188234
AGAP4	CTGLF5	NM_133446	ENSG00000188234
AGAP5	CTGLF2	NM_001144000	ENSG00000172650
AGAP6	CTGLF3	NM_001077665	ENSG00000204149
AGAP7P	CTGLF4	NM_001077685	ENSG00000264204
AGAP7P	AGAP7	NM_001077685	ENSG00000264204
AGAP9	CTGLF6	NM_001190810	ENSG00000204172
AGAP11	AGAP11	NM_133447	ENSG00000271880
AGBL1	AGBL1	NM_152336	ENSG00000273540
AGBL2	AGBL2	NM_024783	ENSG00000165923
AGBL3	AGBL3	NM_178563	ENSG00000146856
AGBL4	AGBL4	NM_032785	ENSG00000186094
AGBL5	AGBL5	NM_021831	ENSG00000084693
AGER	AGER	NM_001136	ENSG00000204305
AGFG1	HRB	NM_004504	ENSG00000173744
AGFG2	HRBL	NM_006076	ENSG00000106351
AGGF1	AGGF1	NM_018046	ENSG00000164252
AGK	MULK	NM_018238	ENSG00000006530
AGL	AGL	NM_000028	ENSG00000162688
AGMAT	AGMAT	NM_024758	ENSG00000116771
AGMO	TMEM195	NM_001004320	ENSG00000187546
AGO2	EIF2C2	NM_012154	ENSG00000123908
AGO2	CASC7	NM_012154	ENSG00000123908
AGO3	EIF2C3	NM_024852	ENSG00000126070
AGO4	EIF2C4	NM_017629	ENSG00000134698
AGPAT1	AGPAT1	NM_006411	ENSG00000204310
AGPAT2	BSCL	NM_006412	ENSG00000169692
AGPAT3	AGPAT3	NM_020132	ENSG00000160216
AGPAT4	AGPAT4	NM_020133	ENSG00000026652
AGPAT5	AGPAT5	NM_018361	ENSG00000155189
AGR2	AGR2	NM_006408	ENSG00000106541
AGR3	AGR3	NM_176813	ENSG00000173467
AGRN	AGRIN	NM_198576	ENSG00000188157
AGT	SERPINA8	NM_000029	ENSG00000135744
AGTPBP1	AGTPBP1	NM_015239	ENSG00000135049
AGTR2	AGTR2	NM_000686	ENSG00000180772
AGTRAP	AGTRAP	NM_020350	ENSG00000177674
AGXT	SPAT	NM_000030	ENSG00000172482
AGXT2	AGXT2	NM_031900	ENSG00000113492
AHCTF1	AHCTF1	NM_015446	ENSG00000153207
AHCY	AHCY	NM_000687	ENSG00000101444
AHI1	AHI1	NM_017651	ENSG00000135541
AHNAK	AHNAK	NM_024060	ENSG00000124942
AHNAK2	C14orf78	NM_138420	ENSG00000185567
AHR	AHR	NM_001621	ENSG00000106546
AHRR	AHH	NM_020731	ENSG00000063438
AHRR	AHHR	NM_020731	ENSG00000063438
AHSA1	C14orf3	NM_012111	ENSG00000100591
AHSG	AHSG	NM_001622	ENSG00000145192
AHSP	ERAF	NM_016633	ENSG00000169877
AICDA	AICDA	NM_020661	ENSG00000111732
AIDA	C1orf80	NM_022831	ENSG00000186063
AIF1L	C9orf58	NM_031426	ENSG00000126878
AIFM2	AMID	NM_032797	ENSG00000042286
AIFM3	AIFM3	NM_144704	ENSG00000183773
AIG1	AIG1	NM_016108	ENSG00000146416
AIM2	AIM2	NM_004833	ENSG00000163568
AIMP1	SCYE1	NM_004757	ENSG00000164022
AIMP2	AIMP2	NM_006303	ENSG00000106305
AIPL1	LCA4	NM_014336	ENSG00000129221
AJAP1	AJAP1	NM_018836	ENSG00000196581
AJM1	C9orf172	NM_001080482	ENSG00000232434
AK2	AK2	NM_001625	ENSG00000004455
AK3	AK3	NM_016282	ENSG00000147853
AK3	AK3L1	NM_016282	ENSG00000147853
AK4	AK4	NM_013410	ENSG00000162433
AK4	AK3L1	NM_013410	ENSG00000162433
AK5	AK5	NM_174858	ENSG00000154027
AK6	AK6	NM_016283	ENSG00000085231
AK8	C9orf98	NM_152572	ENSG00000165695
AK9	C6orf224	NM_001145128	ENSG00000155085
AK9	AKD2	NM_001145128	ENSG00000155085
AK9	C6orf199	NM_001145128	ENSG00000155085
AK9	AKD1	NM_001145128	ENSG00000155085
AKAIN1	C18orf42	NM_001145194	ENSG00000231824
AKAP2	PRKA2	NM_001004065	ENSG00000241978
AKAP3	AKAP3	NM_006422	ENSG00000111254
AKAP4	AKAP4	NM_003886	ENSG00000147081
AKAP6	AKAP6	NM_004274	ENSG00000151320
AKAP7	AKAP7	NM_004842	ENSG00000118507
AKAP8	AKAP8	NM_005858	ENSG00000105127
AKAP8L	AKAP8L	NM_014371	ENSG00000011243
AKAP9	AKAP9	NM_005751	ENSG00000127914
AKAP10	AKAP10	NM_007202	ENSG00000108599
AKAP11	AKAP11	NM_016248	ENSG00000023516
AKAP13	LBC	NM_007200	ENSG00000170776
AKAP14	AKAP14	NM_178813	ENSG00000186471
AKAP17A	CXYorf3	NM_005088	ENSG00000197976
AKAP17A	SFRS17A	NM_005088	ENSG00000197976
AKIP1	C11orf17	NM_020642	ENSG00000166452
AKIRIN1	C1orf108	NM_024595	ENSG00000174574
AKIRIN2	C6orf166	NM_018064	ENSG00000135334
AKNA	AKNA	NM_030767	ENSG00000106948
AKNAD1	C1orf62	NM_152763	ENSG00000162641
AKR1A1	AKR1A1	NM_006066	ENSG00000117448
AKR1B1	ALDR1	NM_001628	ENSG00000085662
AKR1B10	AKR1B11	NM_020299	ENSG00000198074
AKR1C1	DDH1	NM_001353	ENSG00000187134
AKR1C2	DDH2	NM_001354	ENSG00000151632
AKR1C2	TDD	NM_001354	ENSG00000151632
AKR1C3	HSD17B5	NM_003739	ENSG00000196139
AKR1C4	CHDR	NM_001818	ENSG00000198610
AKR1D1	SRD5B1	NM_005989	ENSG00000122787
AKR1E2	AKRDC1	NM_031436	ENSG00000165568
AKR1E2	AKR1CL2	NM_031436	ENSG00000165568
AKR7A2	AKR7A2	NM_003689	ENSG00000053371
AKR7A3	AKR7A3	NM_012067	ENSG00000162482
AKR7L	AKR7L	NM_201252	ENSG00000211454
AKT1	AKT1	NM_005163	ENSG00000142208
AKT1S1	AKT1S1	NM_032375	ENSG00000204673
AKT2	AKT2	NM_001626	ENSG00000105221
AKT3	AKT3	NM_181690	ENSG00000117020
AKTIP	FTS	NM_022476	ENSG00000166971
ALAD	ALAD	NM_001003945	ENSG00000148218
ALAS2	ASB	NM_000032	ENSG00000158578
ALB	ALB	NM_000477	ENSG00000163631
ALCAM	ALCAM	NM_001627	ENSG00000170017
ALDH1A3	ALDH6	NM_000693	ENSG00000184254
ALDH1L1	FTHFD	NM_012190	ENSG00000144908
ALDH1L2	ALDH1L2	NM_001034173	ENSG00000136010
ALDH2	ALDH2	NM_000690	ENSG00000111275
ALDH3A1	ALDH3	NM_000691	ENSG00000108602
ALDH3B1	ALDH7	NM_000694	ENSG00000006534
ALDH3B2	ALDH8	NM_000695	ENSG00000132746
ALDH7A1	ATQ1	NM_001182	ENSG00000164904
ALDH16A1	ALDH16A1	NM_153329	ENSG00000161618
ALDH18A1	GSAS	NM_002860	ENSG00000059573
ALDH18A1	PYCS	NM_002860	ENSG00000059573
ALDH18A1	SPG9	NM_002860	ENSG00000059573
ALDOA	ALDOA	NM_000034	ENSG00000149925
ALG1	ALG1	NM_019109	ENSG00000033011
ALG1L	ALG1L	NM_001015050	ENSG00000189366
ALG1L2	ALG1L2	NM_001136152	ENSG00000251287
