ISG	category
NFE2L3	MDM_specificISG
TRIP4	MDM_specificISG
PIWIL4	MDM_specificISG
KLF6	MDM_specificISG
BCL2L13	MDM_specificISG
GCNT4	MDM_specificISG
ANXA2R	MDM_specificISG
CASP4	MDM_specificISG
PTGER2	MDM_specificISG
TMEM268	MDM_specificISG
SGIP1	MDM_specificISG
DAPP1	MDM_specificISG
SMU1	MDM_specificISG
DCP1A	MDM_specificISG
PANK2	MDM_specificISG
FAM72A	MDM_specificISG
RAB24	MDM_specificISG
RPS6KC1	MDM_specificISG
MCL1	MDM_specificISG
CALHM6	MDM_specificISG
LIFR	MDM_specificISG
CALCOCO2	MDM_specificISG
ZNF277	MDM_specificISG
SELL	MDM_specificISG
TNFRSF10A	MDM_specificISG
C17orf67	MDM_specificISG
SMARCA5	MDM_specificISG
RNF144B	MDM_specificISG
JAK3	MDM_specificISG
RUBCN	MDM_specificISG
CASZ1	MDM_specificISG
POLR3D	MDM_specificISG
SMCHD1	MDM_specificISG
HIST2H2BE	MDM_specificISG
EHBP1	MDM_specificISG
RUFY3	MDM_specificISG
PRLR	MDM_specificISG
TMEM229B	MDM_specificISG
MAX	MDM_specificISG
BIRC2	MDM_specificISG
ERICH1	MDM_specificISG
ANKIB1	MDM_specificISG
PLAA	MDM_specificISG
SECTM1	MDM_specificISG
NSUN3	MDM_specificISG
UBP1	MDM_specificISG
TLE4	MDM_specificISG
LILRB1	MDM_specificISG
SFI1	MDM_specificISG
RND3	MDM_specificISG
SRGAP2B	MDM_specificISG
TJP1	MDM_specificISG
SLC31A2	MDM_specificISG
LYN	MDM_specificISG
CDKL1	MDM_specificISG
GALNT3	MDM_specificISG
PLEKHN1	MDM_specificISG
PLEKHH2	MDM_specificISG
NOD2	MDM_specificISG
PLEKHO1	MDM_specificISG
NKD1	MDM_specificISG
SRGAP2C	MDM_specificISG
SNX10	MDM_specificISG
VCAM1	MDM_specificISG
CXorf38	MDM_specificISG
INTS6L	MDM_specificISG
MUC1	MDM_specificISG
MIA3	MDM_specificISG
STAT3	MDM_specificISG
HPS5	MDM_specificISG
PARP15	MDM_specificISG
RAB3GAP1	MDM_specificISG
PDE4B	MDM_specificISG
CNOT4	MDM_specificISG
DESI1	MDM_specificISG
ENTPD5	MDM_specificISG
DENND5A	MDM_specificISG
RAD9A	MDM_specificISG
JADE2	MDM_specificISG
RAPGEF2	MDM_specificISG
CD47	MDM_specificISG
MYO1G	MDM_specificISG
RHBDF2	MDM_specificISG
CDKN2D	MDM_specificISG
STOML1	MDM_specificISG
RAB8A	MDM_specificISG
AKAP7	MDM_specificISG
SLC22A4	MDM_specificISG
PSMA2	MDM_specificISG
RIMKLB	MDM_specificISG
RNF138	MDM_specificISG
GTF2E2	MDM_specificISG
SMG7	MDM_specificISG
FAM129A	MDM_specificISG
APOBEC3D	MDM_specificISG
SRGAP2	MDM_specificISG
SEMA4D	MDM_specificISG
GRIPAP1	MDM_specificISG
PRPF3	MDM_specificISG
HERPUD2	MDM_specificISG
PRICKLE1	MDM_specificISG
TIMD4	MDM_specificISG
ARID4B	MDM_specificISG
MRPL40	MDM_specificISG
DENND3	MDM_specificISG
RIPOR2	MDM_specificISG
TIA1	MDM_specificISG
C5orf22	MDM_specificISG
USP15	MDM_specificISG
TBK1	MDM_specificISG
MED6	MDM_specificISG
TBX19	MDM_specificISG
RUSC1	MDM_specificISG
KAT2B	MDM_specificISG
CCP110	MDM_specificISG
RSBN1L	MDM_specificISG
MAIP1	MDM_specificISG
PSME1	MDM_specificISG
PRKRIP1	MDM_specificISG
CASP8	MDM_specificISG
DDX59	MDM_specificISG
ZHX1	MDM_specificISG
SAMSN1	MDM_specificISG
NUP205	MDM_specificISG
ENPP4	MDM_specificISG
LYPD5	MDM_specificISG
GIMAP2	MDM_specificISG
FBXO7	MDM_specificISG
FAM124A	MDM_specificISG
CCDC32	MDM_specificISG
CD72	MDM_specificISG
SRSF4	MDM_specificISG
DYNC1LI2	MDM_specificISG
STAT4	MDM_specificISG
SWT1	MDM_specificISG
MFN1	MDM_specificISG
ZBTB42	MDM_specificISG
MCUB	MDM_specificISG
TRPC4AP	MDM_specificISG
RET	MDM_specificISG
DEK	MDM_specificISG
ABHD16A	MDM_specificISG
MDK	MDM_specificISG
NCOA1	MDM_specificISG
TMEM170A	MDM_specificISG
C5orf15	MDM_specificISG
C21orf91	MDM_specificISG
BBX	MDM_specificISG
ABRAXAS1	MDM_specificISG
UBXN2A	MDM_specificISG
XPO6	MDM_specificISG
TMEM106A	MDM_specificISG
KPNA5	MDM_specificISG
COQ10B	MDM_specificISG
CPEB3	MDM_specificISG
LAMB1	MDM_specificISG
IL2RA	MDM_specificISG
PSMB10	MDM_specificISG
DDX52	MDM_specificISG
MARCH1	MDM_specificISG
MAML2	MDM_specificISG
C1GALT1C1	MDM_specificISG
SOS1	MDM_specificISG
IRF4	MDM_specificISG
PLA2G16	MDM_specificISG
C1R	MDM_specificISG
SRD5A1	MDM_specificISG
CSRNP2	MDM_specificISG
TTC38	MDM_specificISG
DAPK2	MDM_specificISG
DECR1	MDM_specificISG
RHPN1	MDM_specificISG
C1S	MDM_specificISG
RBM22	MDM_specificISG
BTN3A3	MDM_specificISG
EPOP	MDM_specificISG
ARHGAP12	MDM_specificISG
LRRCC1	MDM_specificISG
SLC38A5	MDM_specificISG
IL12RB1	MDM_specificISG
POLA2	MDM_specificISG
MRPL27	MDM_specificISG
GIMAP7	MDM_specificISG
MOXD1	MDM_specificISG
EBAG9	MDM_specificISG
PAX5	MDM_specificISG
SELENOS	MDM_specificISG
RAB43	MDM_specificISG
KANSL1L	MDM_specificISG
ITGA2	MDM_specificISG
DIP2B	MDM_specificISG
TICAM2	MDM_specificISG
SPPL2A	MDM_specificISG
GIMAP4	MDM_specificISG
ITGB7	MDM_specificISG
ARHGEF11	MDM_specificISG
TMEM50A	MDM_specificISG
MNDA	MDM_specificISG
ENY2	MDM_specificISG
IGSF8	MDM_specificISG
CALHM5	MDM_specificISG
SCIMP	MDM_specificISG
SLC35A4	MDM_specificISG
CD1D	MDM_specificISG
PRRT2	MDM_specificISG
RABAC1	MDM_specificISG
SCAPER	MDM_specificISG
RAB12	MDM_specificISG
HRASLS2	MDM_specificISG
TOP3A	MDM_specificISG
SHOC2	MDM_specificISG
C2CD6	MDM_specificISG
ODF2L	MDM_specificISG
ARHGAP27	MDM_specificISG
USP42	MDM_specificISG
GABPB1	MDM_specificISG
FAR2	MDM_specificISG
SFMBT1	MDM_specificISG
CCL5	MDM_specificISG
DEDD	MDM_specificISG
CYTH1	MDM_specificISG
UBA7	MDM_specificISG
ARHGEF19	MDM_specificISG
SNIP1	MDM_specificISG
EXT1	MDM_specificISG
GPR141	MDM_specificISG
AKIRIN2	MDM_specificISG
PLCB1	MDM_specificISG
RBM34	MDM_specificISG
MSL3	MDM_specificISG
CYTIP	MDM_specificISG
UHRF1BP1	MDM_specificISG
TINF2	MDM_specificISG
NFIX	MDM_specificISG
RHEBL1	MDM_specificISG
MVB12B	MDM_specificISG
TMEM110_MUSTN1	MDM_specificISG
TEC	MDM_specificISG
OSBPL5	MDM_specificISG
TMX1	MDM_specificISG
FAM19A2	MDM_specificISG
KIAA1522	MDM_specificISG
SLC27A3	MDM_specificISG
CBLN3	MDM_specificISG
MRPS18A	MDM_specificISG
TNFAIP3	MDM_specificISG
NUP160	MDM_specificISG
MED25	MDM_specificISG
RNF114	MDM_specificISG
RHBDD1	MDM_specificISG
CFLAR	MDM_specificISG
EED	MDM_specificISG
MIIP	MDM_specificISG
VPS29	MDM_specificISG
CKB	MDM_specificISG
FKRP	MDM_specificISG
CAVIN1	MDM_specificISG
EXT2	MDM_specificISG
ZNF618	MDM_specificISG
PKN2	MDM_specificISG
LILRB2	MDM_specificISG
ZBED1	MDM_specificISG
SVBP	MDM_specificISG
MED10	MDM_specificISG
MIER1	MDM_specificISG
ZNF860	MDM_specificISG
TAGLN	MDM_specificISG
MFSD14B	MDM_specificISG
ADPGK	MDM_specificISG
ADAM19	MDM_specificISG
PDE7A	MDM_specificISG
SNAPIN	MDM_specificISG
MECOM	MDM_specificISG
CCSER2	MDM_specificISG
NSRP1	MDM_specificISG
CHRNA1	MDM_specificISG
STAG3	MDM_specificISG
SCRN1	MDM_specificISG
GPRIN1	MDM_specificISG
DOCK8	MDM_specificISG
CPT1B	MDM_specificISG
ATOX1	MDM_specificISG
FGL2	MDM_specificISG
TRAF6	MDM_specificISG
C9orf85	MDM_specificISG
CYB561	MDM_specificISG
USP11	MDM_specificISG
C5	MDM_specificISG
TMEM131L	MDM_specificISG
CLIC1	MDM_specificISG
EAF2	MDM_specificISG
HK2	MDM_specificISG
USP10	MDM_specificISG
PRRG4	MDM_specificISG
SMYD2	MDM_specificISG
ZNF75A	MDM_specificISG
RAB2B	MDM_specificISG
RRAGC	MDM_specificISG
DMTF1	MDM_specificISG
YJU2	MDM_specificISG
DAXX	MDM_specificISG
RAB9A	MDM_specificISG
USP33	MDM_specificISG
SELENOO	MDM_specificISG
PNRC2	MDM_specificISG
RNF149	MDM_specificISG
PIGB	MDM_specificISG
BOC	MDM_specificISG
NR3C1	MDM_specificISG
NAGK	MDM_specificISG
ZRSR2	MDM_specificISG
TMEM60	MDM_specificISG
ZNF224	MDM_specificISG
R3HCC1L	MDM_specificISG
NFKB2	MDM_specificISG
LENG1	MDM_specificISG
DGKE	MDM_specificISG
DLL1	MDM_specificISG
ZNF273	MDM_specificISG
INTS7	MDM_specificISG
CKAP4	MDM_specificISG
CYP19A1	MDM_specificISG
ZNF613	MDM_specificISG
ATP13A1	MDM_specificISG
ARHGAP5	MDM_specificISG
FAM126B	MDM_specificISG
ELF4	MDM_specificISG
FMR1	MDM_specificISG
ATP8B2	MDM_specificISG
FYCO1	MDM_specificISG
ANKMY2	MDM_specificISG
BTN3A1	MDM_specificISG
FBXO2	MDM_specificISG
WASL	MDM_specificISG
FAM189B	MDM_specificISG
HIST1H2AB	MDM_specificISG
NHLRC3	MDM_specificISG
CCDC102A	MDM_specificISG
CRLF3	MDM_specificISG
CARS	MDM_specificISG
FKBP5	MDM_specificISG
HAX1	MDM_specificISG
NECAP2	MDM_specificISG
DHRSX	MDM_specificISG
ATG12	MDM_specificISG
TTC9C	MDM_specificISG
NKAPD1	MDM_specificISG
IFRD1	MDM_specificISG
ZNF207	MDM_specificISG
SEMA4A	MDM_specificISG
KAT5	MDM_specificISG
ZFPM2	MDM_specificISG
MRPL44	MDM_specificISG
PPP1R16B	MDM_specificISG
IRF6	MDM_specificISG
ACTA2	MDM_specificISG
TMEM131	MDM_specificISG
SPATS2	MDM_specificISG
H3F3C	MDM_specificISG
ZNF484	MDM_specificISG
ARHGAP15	MDM_specificISG
KIAA1109	MDM_specificISG
SP4	MDM_specificISG
ZMYM4	MDM_specificISG
ARID5B	MDM_specificISG
ZDHHC9	MDM_specificISG
PSMB2	MDM_specificISG
SLC6A9	MDM_specificISG
CBWD3	MDM_specificISG
CYBC1	MDM_specificISG
CCL4L2	MDM_specificISG
ZC3H3	MDM_specificISG
ARSK	MDM_specificISG
SENP7	MDM_specificISG
HSF5	MDM_specificISG
SERPINI1	MDM_specificISG
LAMA3	MDM_specificISG
PRDM11	MDM_specificISG
CHIC2	MDM_specificISG
C11orf96	MDM_specificISG
GORASP1	MDM_specificISG
HID1	MDM_specificISG
ABHD18	MDM_specificISG
RRBP1	MDM_specificISG
DNAJC1	MDM_specificISG
ANGPT1	MDM_specificISG
CLNK	MDM_specificISG
MED13L	MDM_specificISG
MYLIP	MDM_specificISG
NFKB1	MDM_specificISG
FBXL12	MDM_specificISG
CWF19L2	MDM_specificISG
FOXN2	MDM_specificISG
LRRFIP2	MDM_specificISG
SLC14A1	MDM_specificISG
SIK3	MDM_specificISG
SOD2	MDM_specificISG
ZNF394	MDM_specificISG
SHC1	MDM_specificISG
STEAP1B	MDM_specificISG
TXN	MDM_specificISG
CNIH4	MDM_specificISG
UTP6	MDM_specificISG
NCAM2	MDM_specificISG
DENND1A	MDM_specificISG
KDM2A	MDM_specificISG
RAP2C	MDM_specificISG
TIAM2	MDM_specificISG
SNX14	MDM_specificISG
GPBAR1	MDM_specificISG
SIDT2	MDM_specificISG
SMAD4	MDM_specificISG
N4BP2L1	MDM_specificISG
ACAP1	MDM_specificISG
KYAT3	MDM_specificISG
AAMDC	MDM_specificISG
PRKAB1	MDM_specificISG
ALG11	MDM_specificISG
COL9A2	MDM_specificISG
KCNMB3	MDM_specificISG
CTHRC1	MDM_specificISG
SUPT4H1	MDM_specificISG
ZFAND2A	MDM_specificISG
THG1L	MDM_specificISG
HIST2H2AA4	MDM_specificISG
CCDC90B	MDM_specificISG
ERAP2	MDM_specificISG
RIN1	MDM_specificISG
SLCO3A1	MDM_specificISG
WASHC2A	MDM_specificISG
CGRRF1	MDM_specificISG
PLN	MDM_specificISG
ACOT7	MDM_specificISG
FLOT1	MDM_specificISG
GRAMD1B	MDM_specificISG
TESK1	MDM_specificISG
CCDC112	MDM_specificISG
SGF29	MDM_specificISG
GTF2F1	MDM_specificISG
CBLL1	MDM_specificISG
ERCC6L2	MDM_specificISG
TRAF3IP2	MDM_specificISG
BSCL2	MDM_specificISG
ZNF22	MDM_specificISG
IL18BP	MDM_specificISG
THSD4	MDM_specificISG
TMEM179B	MDM_specificISG
CBX4	MDM_specificISG
LSS	MDM_specificISG
HDAC6	MDM_specificISG
REXO1	MDM_specificISG
MBIP	MDM_specificISG
SECISBP2	MDM_specificISG
IQSEC2	MDM_specificISG
NKIRAS2	MDM_specificISG
TMEM219	MDM_specificISG
SLX4	MDM_specificISG
AK2	MDM_specificISG
STK24	MDM_specificISG
ITPR3	MDM_specificISG
NOL8	MDM_specificISG
FRG1	MDM_specificISG
ATP13A2	MDM_specificISG
CCR7	MDM_specificISG
C1orf216	MDM_specificISG
CSF2RB	MDM_specificISG
GIMAP1	MDM_specificISG
C2	monocyte_specificISG
AMIGO2	monocyte_specificISG
HAVCR2	monocyte_specificISG
COA1	monocyte_specificISG
SGMS1	monocyte_specificISG
COQ2	monocyte_specificISG
ICOS	monocyte_specificISG
CD226	monocyte_specificISG
POMP	monocyte_specificISG
BCAR1	monocyte_specificISG
LY96	monocyte_specificISG
FANCA	monocyte_specificISG
SCFD2	monocyte_specificISG
HSPA13	monocyte_specificISG
LMTK2	monocyte_specificISG
GP5	monocyte_specificISG
AQP3	monocyte_specificISG
LAIR1	monocyte_specificISG
MAGOHB	monocyte_specificISG
GFPT2	monocyte_specificISG
RASGRP1	monocyte_specificISG
GRHL1	monocyte_specificISG
ODR4	monocyte_specificISG
NOLC1	monocyte_specificISG
APLF	monocyte_specificISG
CEMIP2	monocyte_specificISG
HRH1	monocyte_specificISG
PPP1R10	monocyte_specificISG
LCNL1	monocyte_specificISG
